energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,track_popularity,key,duration_min,acousticness,popularity_Catergory,track_artist                                                                   ,release_date,
0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0,100,6,4.19,0.308,High_Popularity,Lady Gaga and Bruno Mars                                                        , 8/16/2024                                                                  ,
0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.0608,97,2,3.51,0.2,High_Popularity,Billie Eilish                                                                  , 5/17/2024               ,
0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,0,93,1,2.77,0.214,High_Popularity,Gracie Abrams                                                                  , 10/18/2024              ,
0.783,149.027,0.777,-4.477,0.355,0.939,0.26,0,98,0,2.83,0.0283,High_Popularity,ROSE and Bruno Mars                                                             , 10/18/2024   ,
0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0,94,11,3.64,0.0502,High_Popularity,Chappell Roan                                                                  , 4/5/2024                                                                   ,
0.561,150.069,0.669,-6.538,0.0954,0.841,0.0411,0.00962,88,10,2.83,0.495,High_Popularity,Addison Rae                                                                    , 8/9/2024                ,
0.247,148.101,0.467,-12.002,0.17,0.126,0.0431,0.000271,93,6,4.36,0.612,High_Popularity,Billie Eilish                                                                  , 5/17/2024               ,
0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,0.00000256,92,11,4.27,0.0584,High_Popularity,The Weeknd and Playboi Carti                                                    , 9/27/2024                                                                        ,
0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,0.3,85,7,2.42,0.0146,High_Popularity,Charli xcx and Billie Eilish                                                    ,  8/1/2024                                                    ,
0.586,107.071,0.669,-6.073,0.104,0.579,0.054,0,88,9,3.11,0.274,High_Popularity,Sabrina Carpenter                                                              , 6/6/2024                ,
0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,0,86,9,2.85,0.0633,High_Popularity,Shaboozey                                                                      , 4/12/2024               ,
0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,0,88,6,3.08,0.0187,High_Popularity,Chappell Roan                                                                  , 9/22/2023               ,
0.917,100.987,0.562,-2.768,0.488,0.501,0.117,0,86,11,3.83,0.0513,High_Popularity,Lady Gaga                                                                      , 10/25/2024              ,
0.787,109.939,0.734,-3.951,0.312,0.672,0.116,0,82,5,2.6,0.126,High_Popularity,LISA                                                                           , 10/8/2024               ,
0.843,122.064,0.619,-5.348,0.164,0.746,0.0284,0.000118,86,5,3.41,0.00948,High_Popularity,Morgan Wallen                                                                  , 10/18/2024              ,
0.406,115.94,0.53,-7.507,0.133,0.338,0.033,0,90,10,2.62,0.656,High_Popularity,Gracie Abrams                                                                  , 6/21/2024               ,
0.782,119.992,0.727,-8.529,0.225,0.655,0.042,0.336,86,8,2.96,0.0563,High_Popularity,Adam Port and Stryv and Keinemusik and Orso and Malachiii                                , 6/7/2024          ,
0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0,88,1,4.27,0.285,High_Popularity,Tyler and The Creator and GloRilla and Sexyy Red and Lil Wayne                           , 10/28/2024,
0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,0.0000654,90,0,2.92,0.107,High_Popularity,Sabrina Carpenter                                                              , 4/12/2024               ,
0.725,116.988,0.894,-4.984,0.0815,0.838,0.0432,0.0000115,89,10,2.28,0.00434,High_Popularity,JENNIE                                                                         , 10/10/2024              ,
0.563,105.008,0.833,-5.593,0.139,0.343,0.204,0.0000127,82,4,3.05,0.528,High_Popularity,Rauw Alejandro and Bad Bunny                                                    , 11/15/2024                                                                       ,
0.628,119.98,0.757,-6.715,0.221,0.321,0.101,0.0209,85,4,3.62,0.189,High_Popularity,Don Toliver                                                                    , 6/14/2024               ,
0.855,127.986,0.638,-4.86,0.245,0.731,0.0264,0,84,7,2.97,0.00757,High_Popularity,Post Malone and Morgan Wallen                                                   , 5/10/2024                                                                      ,
0.339,97.989,0.705,-10.612,0.12,0.457,0.0278,0.0814,84,7,3.95,0.552,High_Popularity,The Maras                                                                     , 5/31/2024               ,
0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,0.0000136,93,6,3.76,0.496,High_Popularity,Oscar Maydon and Fuerza Regida                                                  , 9/26/2024                                                               ,
0.601,123.994,0.635,-6.129,0.11,0.332,0.0295,0,88,1,2.88,0.246,High_Popularity,Myles Smith                                                                    , 5/10/2024               ,
0.471,105.029,0.472,-5.692,0.14,0.219,0.0603,0,85,10,3.01,0.151,High_Popularity,Benson Boone                                                                   , 1/18/2024               ,
0.709,194.055,0.744,-5.778,0.0847,0.712,0.284,0,84,6,2.18,0.0501,High_Popularity,Myke Towers and benny blanco                                                    , 10/17/2024                                                            ,
0.904,167.033,0.739,-2.655,0.0948,0.788,0.0442,0.0000103,85,5,2.16,0.549,High_Popularity,KATSEYE                                                                        , 7/26/2024               ,
0.604,159.92,0.561,-4.409,0.104,0.242,0.0337,0.000019,89,9,3.51,0.199,High_Popularity,Teddy Swims                                                                    , 9/15/2023               ,
0.668,90.969,0.646,-5.203,0.212,0.64,0.0282,0,82,2,2.47,0.491,High_Popularity,Mark Ambor                                                                     , 2/16/2024               ,
0.668,128.027,0.924,-6.795,0.0678,0.787,0.0469,0.000594,93,11,3.26,0.446,High_Popularity,KAROL G                                                                        , 6/21/2024               ,
0.454,159.982,0.689,-7.643,0.0707,0.912,0.0584,0.00259,89,2,2.65,0.0351,High_Popularity,Djo                                                                            , 9/16/2022               ,
0.386,192.004,0.504,-10.976,0.0961,0.281,0.0308,0.0000153,84,11,3.82,0.502,High_Popularity,Taylor Swift and Post Malone                                                    , 4/18/2024  ,
0.681,155.079,0.56,-6.304,0.106,0.388,0.244,0,89,6,3.72,0.103,High_Popularity,Omar Courtz and De La Rose                                                      , 9/20/2024                                                                        ,
0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0,88,1,4.57,0.0107,High_Popularity,Kendrick Lamar                                                                 , 5/4/2024                ,
0.711,146.921,0.487,-4.22,0.152,0.317,0.0322,0,85,8,2.53,0.000175,High_Popularity,Jin                                                                            , 11/15/2024              ,
