energy, energy  , all_energy, tempo  , tempo  , all_tempo, danceability, danceability, all_danceability, loudness, loudness, all_loudness, liveness, liveness, all_liveness, valence, valence, all_valence, speechiness, speechiness, all_speechiness, track_popularity, track_popularity, all_track_popularity, instrumentalness, instrumentalness, all_instrumentalness, key, key, all_key, duration_min, acousticness, acousticness, all_acousticness, track_artist                                                                   , track_album_name                                                                    , track_album_release_date, playlist_name         , track_name                                                                                        , source                     , popularity_category, duration_ms, duration_ms
 0.592,         ,   0.592   , 157.969,        ,   157.969,        0.521,             ,           0.521 , -7.777  ,         , -7.777      ,   0.122 ,         ,       0.122 ,  0.535 ,        ,      0.535 ,      0.0304,            , 0.0304         ,              100,                 ,                  100, 0               ,                 ,           0         ,   6,    ,       6,         4.19,     0.308   ,             ,        0.308    , "Lady Gaga, Bruno Mars                                                        ", Die With A Smile                                                                    , 8/16/2024               , Today's Top Hits      , Die With A Smile                                                                                  , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      251668,            
 0.507,         ,   0.507   , 104.978,        ,   104.978,        0.747,             ,           0.747 , -10.171 ,         , -10.171     ,   0.117 ,         ,       0.117 ,  0.438 ,        ,      0.438 ,      0.0358,            , 0.0358         ,               97,                 ,                   97, 0.0608          ,                 ,           0.0608    ,   2,    ,       2,         3.51,     0.2     ,             ,        0.2      , Billie Eilish                                                                  , HIT ME HARD AND SOFT                                                                , 5/17/2024               , Today's Top Hits      , BIRDS OF A FEATHER                                                                                , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      210373,            
 0.808,         ,   0.808   , 108.548,        ,   108.548,        0.554,             ,           0.554 , -4.169  ,         , -4.169      ,   0.159 ,         ,       0.159 ,  0.372 ,        ,      0.372 ,      0.0368,            , 0.0368         ,               93,                 ,                   93, 0               ,                 ,           0         ,   1,    ,       1,         2.77,     0.214   ,             ,        0.214    , Gracie Abrams                                                                  , The Secret of Us (Deluxe)                                                           , 10/18/2024              , Today's Top Hits      , Thats So True                                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      166300,            
 0.783,         ,   0.783   , 149.027,        ,   149.027,        0.777,             ,           0.777 , -4.477  ,         , -4.477      ,   0.355 ,         ,       0.355 ,  0.939 ,        ,      0.939 ,      0.26  ,            , 0.26           ,               98,                 ,                   98, 0               ,                 ,           0         ,   0,    ,       0,         2.83,     0.0283  ,             ,        0.0283   , "ROSÉ, Bruno Mars                                                             ", APT.                                                                                , 10/18/2024              , Today's Top Hits      , APT.                                                                                              , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      169917,            
 0.582,         ,   0.582   , 116.712,        ,   116.712,        0.7  ,             ,           0.7   , -5.96   ,         , -5.96       ,   0.0881,         ,       0.0881,  0.785 ,        ,      0.785 ,      0.0356,            , 0.0356         ,               94,                 ,                   94, 0               ,                 ,           0         ,  11,    ,      11,         3.64,     0.0502  ,             ,        0.0502   , Chappell Roan                                                                  , "Good Luck, Babe!                                                                  ", 4/5/2024                , Today's Top Hits      , "Good Luck, Babe!                                                                  "              , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      218424,            
 0.561,         ,   0.561   , 150.069,        ,   150.069,        0.669,             ,           0.669 , -6.538  ,         , -6.538      ,   0.0954,         ,       0.0954,  0.841 ,        ,      0.841 ,      0.0411,            , 0.0411         ,               88,                 ,                   88, 0.00962         ,                 ,           0.00962   ,  10,    ,      10,         2.83,     0.495   ,             ,        0.495    , Addison Rae                                                                    , Diet Pepsi                                                                          , 8/9/2024                , Today's Top Hits      , Diet Pepsi                                                                                        , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      169698,            
 0.247,         ,   0.247   , 148.101,        ,   148.101,        0.467,             ,           0.467 , -12.002 ,         , -12.002     ,   0.17  ,         ,       0.17  ,  0.126 ,        ,      0.126 ,      0.0431,            , 0.0431         ,               93,                 ,                   93, 0.000271        ,                 ,           0.000271  ,   6,    ,       6,         4.36,     0.612   ,             ,        0.612    , Billie Eilish                                                                  , HIT ME HARD AND SOFT                                                                , 5/17/2024               , Today's Top Hits      , WILDFLOWER                                                                                        , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      261467,            
 0.722,         ,   0.722   , 119.973,        ,   119.973,        0.769,             ,           0.769 , -5.485  ,         , -5.485      ,   0.111 ,         ,       0.111 ,  0.57  ,        ,      0.57  ,      0.0507,            , 0.0507         ,               92,                 ,                   92, 2.56E-06        ,                 ,           0.00000256,  11,    ,      11,         4.27,     0.0584  ,             ,        0.0584   , "The Weeknd, Playboi Carti                                                    ", Timeless                                                                            , 9/27/2024               , Today's Top Hits      , Timeless (with Playboi Carti)                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      256000,            
 0.667,         ,   0.667   , 130.019,        ,   130.019,        0.776,             ,           0.776 , -6.622  ,         , -6.622      ,   0.0761,         ,       0.0761,  0.618 ,        ,      0.618 ,      0.0983,            , 0.0983         ,               85,                 ,                   85, 0.3             ,                 ,           0.3       ,   7,    ,       7,         2.42,     0.0146  ,             ,        0.0146   , "Charli xcx, Billie Eilish                                                    ", Guess featuring Billie Eilish                                                       , 8/1/2024                , Today's Top Hits      , Guess featuring billie eilish                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      145219,            
 0.586,         ,   0.586   , 107.071,        ,   107.071,        0.669,             ,           0.669 , -6.073  ,         , -6.073      ,   0.104 ,         ,       0.104 ,  0.579 ,        ,      0.579 ,      0.054 ,            , 0.054          ,               88,                 ,                   88, 0               ,                 ,           0         ,   9,    ,       9,         3.11,     0.274   ,             ,        0.274    , Sabrina Carpenter                                                              , Please Please Please                                                                , 6/6/2024                , Today's Top Hits      , Please Please Please                                                                              , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      186365,            
 0.709,         ,   0.709   ,  81.012,        ,    81.012,        0.722,             ,           0.722 , -4.95   ,         , -4.95       ,   0.0804,         ,       0.0804,  0.604 ,        ,      0.604 ,      0.0273,            , 0.0273         ,               86,                 ,                   86, 0               ,                 ,           0         ,   9,    ,       9,         2.85,     0.0633  ,             ,        0.0633   , Shaboozey                                                                      , A Bar Song (Tipsy)                                                                  , 4/12/2024               , Today's Top Hits      , A Bar Song (Tipsy)                                                                                , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      171292,            
 0.757,         ,   0.757   , 139.982,        ,   139.982,        0.742,             ,           0.742 , -4.981  ,         , -4.981      ,   0.305 ,         ,       0.305 ,  0.957 ,        ,      0.957 ,      0.0421,            , 0.0421         ,               88,                 ,                   88, 0               ,                 ,           0         ,   6,    ,       6,         3.08,     0.0187  ,             ,        0.0187   , Chappell Roan                                                                  , The Rise and Fall of a Midwest Princess                                             , 9/22/2023               , Today's Top Hits      , HOT TO GO!                                                                                        , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      184841,            
 0.917,         ,   0.917   , 100.987,        ,   100.987,        0.562,             ,           0.562 , -2.768  ,         , -2.768      ,   0.488 ,         ,       0.488 ,  0.501 ,        ,      0.501 ,      0.117 ,            , 0.117          ,               86,                 ,                   86, 0               ,                 ,           0         ,  11,    ,      11,         3.83,     0.0513  ,             ,        0.0513   , Lady Gaga                                                                      , Disease                                                                             , 10/25/2024              , Today's Top Hits      , Disease                                                                                           , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      229997,            
 0.787,         ,   0.787   , 109.939,        ,   109.939,        0.734,             ,           0.734 , -3.951  ,         , -3.951      ,   0.312 ,         ,       0.312 ,  0.672 ,        ,      0.672 ,      0.116 ,            , 0.116          ,               82,                 ,                   82, 0               ,                 ,           0         ,   5,    ,       5,         2.6 ,     0.126   ,             ,        0.126    , LISA                                                                           , Moonlit Floor (Kiss Me)                                                             , 10/8/2024               , Today's Top Hits      , Moonlit Floor (Kiss Me)                                                                           , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      155757,            
 0.843,         ,   0.843   , 122.064,        ,   122.064,        0.619,             ,           0.619 , -5.348  ,         , -5.348      ,   0.164 ,         ,       0.164 ,  0.746 ,        ,      0.746 ,      0.0284,            , 0.0284         ,               86,                 ,                   86, 0.000118        ,                 ,           0.000118  ,   5,    ,       5,         3.41,     0.00948 ,             ,        0.00948  , Morgan Wallen                                                                  , Love Somebody                                                                       , 10/18/2024              , Today's Top Hits      , Love Somebody                                                                                     , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      204829,            
 0.406,         ,   0.406   , 115.94 ,        ,   115.94 ,        0.53 ,             ,           0.53  , -7.507  ,         , -7.507      ,   0.133 ,         ,       0.133 ,  0.338 ,        ,      0.338 ,      0.033 ,            , 0.033          ,               90,                 ,                   90, 0               ,                 ,           0         ,  10,    ,      10,         2.62,     0.656   ,             ,        0.656    , Gracie Abrams                                                                  , The Secret of Us                                                                    , 6/21/2024               , Today's Top Hits      , "I Love You, I'm Sorry                                                             "              , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      157147,            
 0.782,         ,   0.782   , 119.992,        ,   119.992,        0.727,             ,           0.727 , -8.529  ,         , -8.529      ,   0.225 ,         ,       0.225 ,  0.655 ,        ,      0.655 ,      0.042 ,            , 0.042          ,               86,                 ,                   86, 0.336           ,                 ,           0.336     ,   8,    ,       8,         2.96,     0.0563  ,             ,        0.0563   , "Adam Port, Stryv, Keinemusik, Orso, Malachiii                                ", Move                                                                                , 6/7/2024                , Today's Top Hits      , Move                                                                                              , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      177599,            
 0.812,         ,   0.812   ,  80.09 ,        ,    80.09 ,        0.505,             ,           0.505 , -3.986  ,         , -3.986      ,   0.444 ,         ,       0.444 ,  0.664 ,        ,      0.664 ,      0.461 ,            , #SPILL!        ,               88,                 ,                   88, 0               ,                 ,           0         ,   1,    ,       1,         4.27,     0.285   ,             ,        0.285    , "Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne                           ", CHROMAKOPIA                                                                         , 10/28/2024              , Today's Top Hits      , "Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)                                    "              , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      255916,            
 0.76 ,         ,   0.76    , 103.969,        ,   103.969,        0.701,             ,           0.701 , -5.478  ,         , -5.478      ,   0.185 ,         ,       0.185 ,  0.69  ,        ,      0.69  ,      0.0285,            ,                ,               90,                 ,                   90, 6.54E-05        ,                 ,           0.0000654 ,   0,    ,       0,         2.92,     0.107   ,             ,        0.107    , Sabrina Carpenter                                                              , Espresso                                                                            , 4/12/2024               , Today's Top Hits      , Espresso                                                                                          , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      175459,            
 0.725,         ,   0.725   , 116.988,        ,   116.988,        0.894,             ,           0.894 , -4.984  ,         , -4.984      ,   0.0815,         ,       0.0815,  0.838 ,        ,      0.838 ,      0.0432,            ,                ,               89,                 ,                   89, 1.15E-05        ,                 ,           0.0000115 ,  10,    ,      10,         2.28,     0.00434 ,             ,        0.00434  , JENNIE                                                                         , Mantra                                                                              , 10/10/2024              , Today's Top Hits      , Mantra                                                                                            , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      136627,            
 0.563,         ,   0.563   , 105.008,        ,   105.008,        0.833,             ,           0.833 , -5.593  ,         , -5.593      ,   0.139 ,         ,       0.139 ,  0.343 ,        ,      0.343 ,      0.204 ,            ,                ,               82,                 ,                   82, 1.27E-05        ,                 ,           0.0000127 ,   4,    ,       4,         3.05,     0.528   ,             ,        0.528    , "Rauw Alejandro, Bad Bunny                                                    ", Cosa Nuestra                                                                        , 11/15/2024              , Today's Top Hits      , Quaco Pasar�a...                                                                                  , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      182857,            
 0.628,         ,   0.628   , 119.98 ,        ,   119.98 ,        0.757,             ,           0.757 , -6.715  ,         , -6.715      ,   0.221 ,         ,       0.221 ,  0.321 ,        ,      0.321 ,      0.101 ,            ,                ,               85,                 ,                   85, 0.0209          ,                 ,           0.0209    ,   4,    ,       4,         3.62,     0.189   ,             ,        0.189    , Don Toliver                                                                    , HARDSTONE PSYCHO                                                                    , 6/14/2024               , Today's Top Hits      , NEW DROP                                                                                          , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      217333,            
